hardware_id,created_at,Wh,voltage ry,voltage yb,voltage br,Voltage R,Voltage Y,Voltage B,Current R,Current Y,Current B
abcdefgh,2019-06-27T18:54:00.000Z,69434.27618,0,408,404,233,237,234,6.4375,6.28125,7.21875
abcdefgh,2019-06-27T18:52:00.000Z,69415.88047,0,408,406,234,237,234,6.46875,6.3125,7.15625
abcdefgh,2019-06-27T18:50:00.000Z,69397.40699,0,408,404,232,237,234,6.4375,6.34375,7.09375
abcdefgh,2019-06-27T18:49:00.000Z,69379.3195,0,406,404,232,236,234,6.46875,6.34375,7
abcdefgh,2019-06-27T18:46:00.000Z,69352.98839,0,406,406,234,236,234,6.40625,6.28125,7.15625
abcdefgh,2019-06-27T18:43:00.000Z,69326.7399,0,406,404,233,236,234,6.375,6.28125,7.21875
abcdefgh,2019-06-27T18:42:00.000Z,69308.61407,0,406,404,232,236,233,6.40625,6.1875,7.3125
abcdefgh,2019-06-27T18:40:00.000Z,69290.52258,0,406,404,234,236,234,6.34375,6.25,7.25
abcdefgh,2019-06-27T18:38:00.000Z,69276.65644,0,398,394,227,231,228,6.3125,6.25,6.96875
abcdefgh,2019-06-27T18:36:00.000Z,69262.09818,0,400,398,229,233,230,6.3125,6.21875,7.1875
abcdefgh,2019-06-27T18:34:00.000Z,69247.30687,0,400,396,228,232,230,6.3125,6.1875,7.15625
abcdefgh,2019-06-27T18:32:00.000Z,69226.37412,0,400,396,228,232,229,6.375,6.28125,7.15625
abcdefgh,2019-06-27T18:30:00.000Z,69211.74328,0,400,396,229,232,229,6.375,6.21875,7.0625
abcdefgh,2019-06-27T18:28:00.000Z,69197.06984,0,400,396,228,232,229,6.34375,6.21875,7.03125
abcdefgh,2019-06-27T18:27:00.000Z,69182.55355,0,400,396,229,232,229,6.4375,6.28125,6.90625
abcdefgh,2019-06-27T18:25:00.000Z,69168.17959,0,398,396,228,232,228,6.3125,6.15625,7.09375
abcdefgh,2019-06-27T18:23:00.000Z,69154.02606,0,398,396,228,232,229,6.40625,6.28125,7.03125
abcdefgh,2019-06-27T18:20:00.000Z,69134.30588,0,398,394,228,232,228,6.34375,6.28125,7
abcdefgh,2019-06-27T18:19:00.000Z,69119.16598,0,410,408,235,238,235,6.34375,6.21875,7.09375
abcdefgh,2019-06-27T18:17:00.000Z,69100.26224,0,410,406,234,239,235,6.46875,6.3125,7.25
abcdefgh,2019-06-27T18:15:00.000Z,69081.45162,0,410,406,234,238,235,6.46875,6.28125,7.1875
abcdefgh,2019-06-27T18:13:00.000Z,69062.76541,0,408,404,233,237,234,6.4375,6.28125,7.09375
abcdefgh,2019-06-27T18:11:00.000Z,69044.2816,0,408,404,233,237,234,6.4375,6.3125,7.15625
abcdefgh,2019-06-27T18:10:00.000Z,69025.77155,0,408,406,234,237,234,6.46875,6.34375,7.125
abcdefgh,2019-06-27T18:07:00.000Z,68998.48466,0,408,406,233,238,235,6.40625,6.28125,7.25
abcdefgh,2019-06-27T18:05:00.000Z,68979.93247,0,410,406,234,238,235,6.40625,6.21875,7.34375
abcdefgh,2019-06-27T18:03:00.000Z,68961.31961,0,410,406,235,238,235,6.4375,6.21875,7.28125
abcdefgh,2019-06-27T18:01:00.000Z,68936.6118,0,410,406,234,238,235,6.46875,6.34375,7.1875
abcdefgh,2019-06-27T17:58:00.000Z,68909.7985,0,410,404,232,238,235,6.46875,6.34375,7.3125
abcdefgh,2019-06-27T17:57:00.000Z,68891.41928,0,408,406,234,237,234,6.4375,6.25,7.0625
abcdefgh,2019-06-27T17:55:00.000Z,68873.0565,0,408,406,234,237,234,6.375,6.28125,7.21875
abcdefgh,2019-06-27T17:53:00.000Z,68854.81657,0,408,406,234,237,234,6.4375,6.3125,7.0625
abcdefgh,2019-06-27T17:51:00.000Z,68835.72466,0,408,406,234,237,234,6.375,6.25,7.28125
abcdefgh,2019-06-27T17:48:00.000Z,68809.26354,0,406,404,233,236,234,6.375,6.21875,7.3125
abcdefgh,2019-06-27T17:47:00.000Z,68792.07098,0,406,404,233,235,233,6.3125,6.21875,7.21875
abcdefgh,2019-06-27T17:33:00.000Z,68665.01938,0,404,400,230,235,232,6.4375,6.3125,7.125
abcdefgh,2019-06-27T17:31:00.000Z,68648.89626,0,404,400,231,235,232,6.4375,6.375,7.0625
abcdefgh,2019-06-27T17:29:00.000Z,68632.96289,0,404,400,231,234,231,6.375,6.1875,7.1875
